,Algorithm,Run,Step,vehicle,x,y
146,Lawnmower,0,36,2,15,11
147,Lawnmower,0,36,3,12,16
148,Lawnmower,0,37,0,12,12
149,Lawnmower,0,37,1,16,15
150,Lawnmower,0,37,2,15,10
151,Lawnmower,0,37,3,12,15
152,Lawnmower,0,38,0,12,11
153,Lawnmower,0,38,1,16,14
154,Lawnmower,0,38,2,15,9
155,Lawnmower,0,38,3,12,14
156,Lawnmower,0,39,0,12,10
157,Lawnmower,0,39,1,16,13
158,Lawnmower,0,39,2,15,8
159,Lawnmower,0,39,3,12,13
160,Lawnmower,0,40,0,12,9
161,Lawnmower,0,40,1,16,12
162,Lawnmower,0,40,2,15,7
163,Lawnmower,0,40,3,12,12
164,Lawnmower,0,41,0,12,8
165,Lawnmower,0,41,1,16,11
166,Lawnmower,0,41,2,15,6
167,Lawnmower,0,41,3,12,11
168,Lawnmower,0,42,0,11,9
169,Lawnmower,0,42,1,15,12
170,Lawnmower,0,42,2,14,7
171,Lawnmower,0,42,3,11,12
172,Lawnmower,0,43,0,10,10
173,Lawnmower,0,43,1,14,13
174,Lawnmower,0,43,2,13,8
175,Lawnmower,0,43,3,10,13
176,Lawnmower,0,44,0,9,11
177,Lawnmower,0,44,1,13,14
178,Lawnmower,0,44,2,12,9
179,Lawnmower,0,44,3,9,14
180,Lawnmower,0,45,0,8,12
181,Lawnmower,0,45,1,12,15
182,Lawnmower,0,45,2,11,10
183,Lawnmower,0,45,3,8,15
184,Lawnmower,0,46,0,7,13
185,Lawnmower,0,46,1,11,16
186,Lawnmower,0,46,2,10,11
187,Lawnmower,0,46,3,7,16
188,Lawnmower,0,47,0,6,14
189,Lawnmower,0,47,1,10,17
190,Lawnmower,0,47,2,9,12
191,Lawnmower,0,47,3,6,17
192,Lawnmower,0,48,0,5,15
193,Lawnmower,0,48,1,9,18
194,Lawnmower,0,48,2,8,13
195,Lawnmower,0,48,3,5,18
196,Lawnmower,0,49,0,4,16
197,Lawnmower,0,49,1,8,19
198,Lawnmower,0,49,2,7,14
199,Lawnmower,0,49,3,4,19
200,Lawnmower,0,50,0,5,15
201,Lawnmower,0,50,1,9,18
202,Lawnmower,0,50,2,8,13
203,Lawnmower,0,50,3,5,18
204,Lawnmower,0,51,0,6,14
205,Lawnmower,0,51,1,10,17
206,Lawnmower,0,51,2,9,12
207,Lawnmower,0,51,3,6,17
208,Lawnmower,0,52,0,7,13
209,Lawnmower,0,52,1,11,16
210,Lawnmower,0,52,2,10,11
211,Lawnmower,0,52,3,7,16
212,Lawnmower,0,53,0,8,12
213,Lawnmower,0,53,1,12,15
214,Lawnmower,0,53,2,11,10
215,Lawnmower,0,53,3,8,15
216,Lawnmower,0,54,0,9,11
217,Lawnmower,0,54,1,13,14
218,Lawnmower,0,54,2,12,9
219,Lawnmower,0,54,3,9,14
220,Lawnmower,0,55,0,10,10
221,Lawnmower,0,55,1,14,13
222,Lawnmower,0,55,2,13,8
223,Lawnmower,0,55,3,10,13
224,Lawnmower,0,56,0,11,9
225,Lawnmower,0,56,1,15,12
226,Lawnmower,0,56,2,14,7
227,Lawnmower,0,56,3,11,12
228,Lawnmower,0,57,0,12,8
229,Lawnmower,0,57,1,16,11
230,Lawnmower,0,57,2,15,6
231,Lawnmower,0,57,3,12,11
232,Lawnmower,0,58,0,12,9
233,Lawnmower,0,58,1,16,12
234,Lawnmower,0,58,2,15,7
235,Lawnmower,0,58,3,12,12
236,Lawnmower,0,59,0,12,10
237,Lawnmower,0,59,1,16,13
238,Lawnmower,0,59,2,15,8
239,Lawnmower,0,59,3,12,13
240,Lawnmower,0,60,0,12,11
241,Lawnmower,0,60,1,16,14
242,Lawnmower,0,60,2,15,9
243,Lawnmower,0,60,3,12,14
244,Lawnmower,0,61,0,12,12
245,Lawnmower,0,61,1,16,15
246,Lawnmower,0,61,2,15,10
247,Lawnmower,0,61,3,12,15
248,Lawnmower,0,62,0,12,13
249,Lawnmower,0,62,1,16,16
250,Lawnmower,0,62,2,15,11
251,Lawnmower,0,62,3,12,16
252,Lawnmower,0,63,0,12,14
253,Lawnmower,0,63,1,16,17
254,Lawnmower,0,63,2,15,12
255,Lawnmower,0,63,3,12,17
256,Lawnmower,0,64,0,12,15
257,Lawnmower,0,64,1,16,18
258,Lawnmower,0,64,2,15,13
259,Lawnmower,0,64,3,12,18
260,Lawnmower,0,65,0,12,16
261,Lawnmower,0,65,1,16,19
262,Lawnmower,0,65,2,15,14
263,Lawnmower,0,65,3,12,19
264,Lawnmower,0,66,0,12,17
265,Lawnmower,0,66,1,16,20
266,Lawnmower,0,66,2,15,15
267,Lawnmower,0,66,3,12,20
268,Lawnmower,0,67,0,12,18
269,Lawnmower,0,67,1,16,21
270,Lawnmower,0,67,2,15,16
271,Lawnmower,0,67,3,12,21
272,Lawnmower,0,68,0,13,17
273,Lawnmower,0,68,1,17,20
274,Lawnmower,0,68,2,16,15
275,Lawnmower,0,68,3,13,20
276,Lawnmower,0,69,0,14,16
277,Lawnmower,0,69,1,18,19
278,Lawnmower,0,69,2,17,14
279,Lawnmower,0,69,3,14,19
280,Lawnmower,0,70,0,15,15
281,Lawnmower,0,70,1,19,18
282,Lawnmower,0,70,2,18,13
283,Lawnmower,0,70,3,15,18
284,Lawnmower,0,71,0,16,14
285,Lawnmower,0,71,1,20,17
286,Lawnmower,0,71,2,19,12
287,Lawnmower,0,71,3,16,17
288,Lawnmower,0,72,0,17,13
289,Lawnmower,0,72,1,21,16
290,Lawnmower,0,72,2,20,11
291,Lawnmower,0,72,3,17,16
292,Lawnmower,0,73,0,18,12
293,Lawnmower,0,73,1,22,15
294,Lawnmower,0,73,2,21,10
295,Lawnmower,0,73,3,18,15
296,Lawnmower,0,74,0,19,11
297,Lawnmower,0,74,1,23,14
298,Lawnmower,0,74,2,22,9
299,Lawnmower,0,74,3,19,14
300,Lawnmower,0,75,0,20,10
301,Lawnmower,0,75,1,24,13
302,Lawnmower,0,75,2,23,8
303,Lawnmower,0,75,3,20,13
304,Lawnmower,0,76,0,21,9
305,Lawnmower,0,76,1,25,12
306,Lawnmower,0,76,2,24,7
307,Lawnmower,0,76,3,21,12
308,Lawnmower,0,77,0,22,8
309,Lawnmower,0,77,1,26,11
310,Lawnmower,0,77,2,25,6
311,Lawnmower,0,77,3,22,11
312,Lawnmower,0,78,0,23,7
313,Lawnmower,0,78,1,27,10
314,Lawnmower,0,78,2,26,5
315,Lawnmower,0,78,3,23,10
316,Lawnmower,0,79,0,24,6
317,Lawnmower,0,79,1,28,9
318,Lawnmower,0,79,2,27,4
319,Lawnmower,0,79,3,24,9
320,Lawnmower,0,80,0,24,7
321,Lawnmower,0,80,1,28,10
322,Lawnmower,0,80,2,27,5
323,Lawnmower,0,80,3,24,10
324,Lawnmower,0,81,0,24,8
325,Lawnmower,0,81,1,28,11
326,Lawnmower,0,81,2,27,6
327,Lawnmower,0,81,3,24,11
328,Lawnmower,0,82,0,24,9
329,Lawnmower,0,82,1,28,12
330,Lawnmower,0,82,2,27,7
331,Lawnmower,0,82,3,24,12
332,Lawnmower,0,83,0,24,10
333,Lawnmower,0,83,1,28,13
334,Lawnmower,0,83,2,27,8
335,Lawnmower,0,83,3,24,13
336,Lawnmower,0,84,0,24,11
337,Lawnmower,0,84,1,28,14
338,Lawnmower,0,84,2,27,9
339,Lawnmower,0,84,3,24,14
340,Lawnmower,0,85,0,24,12
341,Lawnmower,0,85,1,28,15
342,Lawnmower,0,85,2,27,10
343,Lawnmower,0,85,3,24,15
344,Lawnmower,0,86,0,24,13
345,Lawnmower,0,86,1,28,16
