,Algorithm,Run,Step,vehicle,x,y
120,Random Fleet Wandering,0,30,0,28,21
121,Random Fleet Wandering,0,30,1,32,24
122,Random Fleet Wandering,0,30,2,31,19
123,Random Fleet Wandering,0,30,3,28,24
124,Random Fleet Wandering,0,31,0,27,21
125,Random Fleet Wandering,0,31,1,31,24
126,Random Fleet Wandering,0,31,2,30,19
127,Random Fleet Wandering,0,31,3,27,24
128,Random Fleet Wandering,0,32,0,26,21
129,Random Fleet Wandering,0,32,1,30,24
130,Random Fleet Wandering,0,32,2,29,19
131,Random Fleet Wandering,0,32,3,26,24
132,Random Fleet Wandering,0,33,0,25,21
133,Random Fleet Wandering,0,33,1,29,24
134,Random Fleet Wandering,0,33,2,28,19
135,Random Fleet Wandering,0,33,3,25,24
136,Random Fleet Wandering,0,34,0,24,21
137,Random Fleet Wandering,0,34,1,28,24
138,Random Fleet Wandering,0,34,2,27,19
139,Random Fleet Wandering,0,34,3,24,24
140,Random Fleet Wandering,0,35,0,23,21
141,Random Fleet Wandering,0,35,1,27,24
142,Random Fleet Wandering,0,35,2,26,19
143,Random Fleet Wandering,0,35,3,23,24
144,Random Fleet Wandering,0,36,0,22,20
145,Random Fleet Wandering,0,36,1,26,23
146,Random Fleet Wandering,0,36,2,25,18
147,Random Fleet Wandering,0,36,3,22,23
148,Random Fleet Wandering,0,37,0,23,21
149,Random Fleet Wandering,0,37,1,27,24
150,Random Fleet Wandering,0,37,2,26,19
151,Random Fleet Wandering,0,37,3,23,24
152,Random Fleet Wandering,0,38,0,24,22
153,Random Fleet Wandering,0,38,1,28,25
154,Random Fleet Wandering,0,38,2,27,20
155,Random Fleet Wandering,0,38,3,24,25
156,Random Fleet Wandering,0,39,0,25,23
157,Random Fleet Wandering,0,39,1,29,26
158,Random Fleet Wandering,0,39,2,28,21
159,Random Fleet Wandering,0,39,3,25,26
160,Random Fleet Wandering,0,40,0,26,23
161,Random Fleet Wandering,0,40,1,30,26
162,Random Fleet Wandering,0,40,2,29,21
163,Random Fleet Wandering,0,40,3,26,26
164,Random Fleet Wandering,0,41,0,26,22
165,Random Fleet Wandering,0,41,1,30,25
166,Random Fleet Wandering,0,41,2,29,20
167,Random Fleet Wandering,0,41,3,26,25
168,Random Fleet Wandering,0,42,0,26,21
169,Random Fleet Wandering,0,42,1,30,24
170,Random Fleet Wandering,0,42,2,29,19
171,Random Fleet Wandering,0,42,3,26,24
172,Random Fleet Wandering,0,43,0,26,20
173,Random Fleet Wandering,0,43,1,30,23
174,Random Fleet Wandering,0,43,2,29,18
175,Random Fleet Wandering,0,43,3,26,23
176,Random Fleet Wandering,0,44,0,26,19
177,Random Fleet Wandering,0,44,1,30,22
178,Random Fleet Wandering,0,44,2,29,17
179,Random Fleet Wandering,0,44,3,26,22
180,Random Fleet Wandering,0,45,0,26,18
181,Random Fleet Wandering,0,45,1,30,21
182,Random Fleet Wandering,0,45,2,29,16
183,Random Fleet Wandering,0,45,3,26,21
184,Random Fleet Wandering,0,46,0,26,17
185,Random Fleet Wandering,0,46,1,30,20
186,Random Fleet Wandering,0,46,2,29,15
187,Random Fleet Wandering,0,46,3,26,20
188,Random Fleet Wandering,0,47,0,26,16
189,Random Fleet Wandering,0,47,1,30,19
190,Random Fleet Wandering,0,47,2,29,14
191,Random Fleet Wandering,0,47,3,26,19
192,Random Fleet Wandering,0,48,0,26,15
193,Random Fleet Wandering,0,48,1,30,18
194,Random Fleet Wandering,0,48,2,29,13
195,Random Fleet Wandering,0,48,3,26,18
196,Random Fleet Wandering,0,49,0,26,14
197,Random Fleet Wandering,0,49,1,30,17
198,Random Fleet Wandering,0,49,2,29,12
199,Random Fleet Wandering,0,49,3,26,17
200,Random Fleet Wandering,0,50,0,26,13
201,Random Fleet Wandering,0,50,1,30,16
202,Random Fleet Wandering,0,50,2,29,11
203,Random Fleet Wandering,0,50,3,26,16
204,Random Fleet Wandering,0,51,0,26,12
205,Random Fleet Wandering,0,51,1,30,15
206,Random Fleet Wandering,0,51,2,29,10
207,Random Fleet Wandering,0,51,3,26,15
208,Random Fleet Wandering,0,52,0,26,11
209,Random Fleet Wandering,0,52,1,30,14
210,Random Fleet Wandering,0,52,2,29,9
211,Random Fleet Wandering,0,52,3,26,14
212,Random Fleet Wandering,0,53,0,26,10
213,Random Fleet Wandering,0,53,1,30,13
214,Random Fleet Wandering,0,53,2,29,8
215,Random Fleet Wandering,0,53,3,26,13
216,Random Fleet Wandering,0,54,0,26,9
