,Algorithm,Run,Step,vehicle,x,y
173,DRL,0,43,1,21,16
174,DRL,0,43,2,21,19
175,DRL,0,43,3,24,17
176,DRL,0,44,0,21,19
177,DRL,0,44,1,20,15
178,DRL,0,44,2,20,18
179,DRL,0,44,3,23,16
180,DRL,0,45,0,20,18
181,DRL,0,45,1,19,15
182,DRL,0,45,2,19,18
183,DRL,0,45,3,22,15
184,DRL,0,46,0,19,17
185,DRL,0,46,1,18,14
186,DRL,0,46,2,18,17
187,DRL,0,46,3,21,14
188,DRL,0,47,0,20,16
189,DRL,0,47,1,18,13
190,DRL,0,47,2,18,16
191,DRL,0,47,3,21,13
192,DRL,0,48,0,21,15
193,DRL,0,48,1,19,12
194,DRL,0,48,2,19,15
195,DRL,0,48,3,22,12
196,DRL,0,49,0,22,14
197,DRL,0,49,1,20,11
198,DRL,0,49,2,20,14
199,DRL,0,49,3,23,11
200,DRL,0,50,0,23,13
201,DRL,0,50,1,21,10
202,DRL,0,50,2,21,13
203,DRL,0,50,3,24,10
204,DRL,0,51,0,24,12
205,DRL,0,51,1,22,9
206,DRL,0,51,2,22,13
207,DRL,0,51,3,25,9
208,DRL,0,52,0,25,12
209,DRL,0,52,1,23,9
210,DRL,0,52,2,23,13
211,DRL,0,52,3,26,8
212,DRL,0,53,0,26,12
213,DRL,0,53,1,24,10
214,DRL,0,53,2,24,14
215,DRL,0,53,3,27,8
216,DRL,0,54,0,27,13
217,DRL,0,54,1,25,11
218,DRL,0,54,2,25,15
219,DRL,0,54,3,28,9
220,DRL,0,55,0,28,14
221,DRL,0,55,1,26,12
222,DRL,0,55,2,26,16
223,DRL,0,55,3,29,10
224,DRL,0,56,0,29,15
225,DRL,0,56,1,27,13
226,DRL,0,56,2,27,17
227,DRL,0,56,3,30,11
228,DRL,0,57,0,30,16
229,DRL,0,57,1,28,14
230,DRL,0,57,2,28,18
231,DRL,0,57,3,31,12
232,DRL,0,58,0,31,17
233,DRL,0,58,1,29,15
234,DRL,0,58,2,29,19
235,DRL,0,58,3,32,13
236,DRL,0,59,0,32,18
237,DRL,0,59,1,30,16
238,DRL,0,59,2,30,20
239,DRL,0,59,3,33,14
240,DRL,0,60,0,33,19
241,DRL,0,60,1,30,17
242,DRL,0,60,2,31,21
243,DRL,0,60,3,34,15
244,DRL,0,61,0,34,20
245,DRL,0,61,1,31,18
246,DRL,0,61,2,32,22
247,DRL,0,61,3,35,16
248,DRL,0,62,0,35,21
249,DRL,0,62,1,31,19
250,DRL,0,62,2,33,23
251,DRL,0,62,3,36,17
252,DRL,0,63,0,35,22
253,DRL,0,63,1,31,20
254,DRL,0,63,2,34,24
255,DRL,0,63,3,35,18
256,DRL,0,64,0,34,23
257,DRL,0,64,1,30,21
258,DRL,0,64,2,33,25
259,DRL,0,64,3,34,19
260,DRL,0,65,0,33,24
261,DRL,0,65,1,29,22
262,DRL,0,65,2,32,26
263,DRL,0,65,3,33,20
264,DRL,0,66,0,32,25
265,DRL,0,66,1,28,23
266,DRL,0,66,2,31,27
267,DRL,0,66,3,32,21
268,DRL,0,67,0,31,25
269,DRL,0,67,1,27,24
270,DRL,0,67,2,30,28
271,DRL,0,67,3,31,22
272,DRL,0,68,0,30,25
273,DRL,0,68,1,26,25
274,DRL,0,68,2,29,27
275,DRL,0,68,3,30,23
276,DRL,0,69,0,29,24
277,DRL,0,69,1,25,26
278,DRL,0,69,2,28,26
279,DRL,0,69,3,29,23
280,DRL,0,70,0,28,23
281,DRL,0,70,1,24,25
282,DRL,0,70,2,27,25
283,DRL,0,70,3,28,22
284,DRL,0,71,0,27,22
285,DRL,0,71,1,23,24
286,DRL,0,71,2,26,24
287,DRL,0,71,3,27,21
288,DRL,0,72,0,26,21
289,DRL,0,72,1,22,23
290,DRL,0,72,2,25,23
291,DRL,0,72,3,26,20
292,DRL,0,73,0,25,20
293,DRL,0,73,1,22,22
294,DRL,0,73,2,24,22
295,DRL,0,73,3,25,19
296,DRL,0,74,0,24,19
297,DRL,0,74,1,22,21
298,DRL,0,74,2,23,21
299,DRL,0,74,3,24,18
300,DRL,0,75,0,23,18
301,DRL,0,75,1,21,20
302,DRL,0,75,2,22,20
303,DRL,0,75,3,23,17
304,DRL,0,76,0,22,17
305,DRL,0,76,1,20,20
306,DRL,0,76,2,21,19
307,DRL,0,76,3,22,16
308,DRL,0,77,0,21,16
309,DRL,0,77,1,19,19
310,DRL,0,77,2,20,18
311,DRL,0,77,3,21,15
312,DRL,0,78,0,20,16
313,DRL,0,78,1,18,20
314,DRL,0,78,2,19,18
315,DRL,0,78,3,20,15
316,DRL,0,79,0,19,16
317,DRL,0,79,1,17,20
318,DRL,0,79,2,18,18
319,DRL,0,79,3,19,15
320,DRL,0,80,0,18,15
321,DRL,0,80,1,16,20
322,DRL,0,80,2,17,17
323,DRL,0,80,3,18,14
324,DRL,0,81,0,18,14
325,DRL,0,81,1,15,19
326,DRL,0,81,2,16,16
327,DRL,0,81,3,17,13
328,DRL,0,82,0,19,13
329,DRL,0,82,1,16,18
330,DRL,0,82,2,17,15
331,DRL,0,82,3,18,12
332,DRL,0,83,0,20,12
333,DRL,0,83,1,17,17
334,DRL,0,83,2,18,14
335,DRL,0,83,3,19,11
336,DRL,0,84,0,21,11
337,DRL,0,84,1,18,16
338,DRL,0,84,2,19,13
339,DRL,0,84,3,20,10
340,DRL,0,85,0,22,10
341,DRL,0,85,1,19,15
342,DRL,0,85,2,20,12
343,DRL,0,85,3,21,9
344,DRL,0,86,0,23,9
345,DRL,0,86,1,20,14
346,DRL,0,86,2,21,11
347,DRL,0,86,3,22,8
348,DRL,0,87,0,24,8
349,DRL,0,87,1,21,13
350,DRL,0,87,2,22,11
351,DRL,0,87,3,23,7
352,DRL,0,88,0,25,8
353,DRL,0,88,1,22,12
354,DRL,0,88,2,23,11
355,DRL,0,88,3,24,8
356,DRL,0,89,0,26,8
357,DRL,0,89,1,23,12
358,DRL,0,89,2,24,11
359,DRL,0,89,3,25,9
360,DRL,0,90,0,27,8
361,DRL,0,90,1,24,13
362,DRL,0,90,2,25,12
363,DRL,0,90,3,26,10
364,DRL,0,91,0,28,9
365,DRL,0,91,1,25,14
366,DRL,0,91,2,26,13
367,DRL,0,91,3,27,11
368,DRL,0,92,0,29,10
369,DRL,0,92,1,26,15
370,DRL,0,92,2,27,14
371,DRL,0,92,3,28,12
372,DRL,0,93,0,30,11
373,DRL,0,93,1,27,16
374,DRL,0,93,2,28,15
375,DRL,0,93,3,29,13
376,DRL,0,94,0,31,12
377,DRL,0,94,1,28,17
378,DRL,0,94,2,29,16
379,DRL,0,94,3,30,14
380,DRL,0,95,0,32,13
381,DRL,0,95,1,29,18
382,DRL,0,95,2,30,17
383,DRL,0,95,3,31,15
