,Algorithm,Run,Step,Accumulated Reward,Disconnections
0,DRL,0,0,0.0,0
1,DRL,0,1,2.0939077883958817,0
2,DRL,0,2,3.935846813619137,0
3,DRL,0,3,6.036328943669797,0
4,DRL,0,4,7.667878116965294,0
5,DRL,0,5,8.923575412482023,3
6,DRL,0,6,10.72676542788744,7
7,DRL,0,7,12.25293858461082,11
8,DRL,0,8,13.66747234530747,15
9,DRL,0,9,15.121679695025087,19
10,DRL,0,10,16.145939360782506,23
11,DRL,0,11,17.48827665425837,27
12,DRL,0,12,18.57419847302139,31
13,DRL,0,13,19.72507750809193,35
14,DRL,0,14,20.96418646425009,39
15,DRL,0,15,22.120899374559524,43
16,DRL,0,16,23.102666540667418,47
17,DRL,0,17,24.10822974957526,51
18,DRL,0,18,25.235878758654,55
19,DRL,0,19,26.420647206753493,59
20,DRL,0,20,27.00841479510069,63
21,DRL,0,21,27.563154020756485,67
22,DRL,0,22,28.13175333671272,71
23,DRL,0,23,28.990226717293265,75
24,DRL,0,24,29.98749998830259,79
25,DRL,0,25,30.960597573518758,83
26,DRL,0,26,31.96414029344917,87
27,DRL,0,27,33.01110440716148,91
28,DRL,0,28,34.094308730512864,95
29,DRL,0,29,35.24196645841003,99
30,DRL,0,30,36.315635079965006,103
31,DRL,0,31,37.24772099919618,107
32,DRL,0,32,38.3445666858554,111
33,DRL,0,33,38.692742624580866,115
34,DRL,0,34,39.23265511028469,119
35,DRL,0,35,39.94351311802865,123
36,DRL,0,36,40.81940884605051,127
37,DRL,0,37,42.027012592405086,131
38,DRL,0,38,42.938820851594215,135
39,DRL,0,39,43.758372315950695,139
40,DRL,0,40,44.36962619751692,143
41,DRL,0,41,44.871445054784424,147
42,DRL,0,42,45.26055455248804,151
43,DRL,0,43,45.70394703928382,155
44,DRL,0,44,46.29559513512999,159
45,DRL,0,45,47.013128771372145,163
46,DRL,0,46,47.46050814494491,167
47,DRL,0,47,47.89367041915656,171
48,DRL,0,48,48.27063131511212,175
49,DRL,0,49,48.705488739013674,179
50,DRL,0,50,49.133211098983885,183
51,DRL,0,51,49.8110808120668,187
52,DRL,0,52,50.35808869957924,191
53,DRL,0,53,51.052836530394856,195
54,DRL,0,54,51.78122668106109,199
55,DRL,0,55,52.40813533674926,203
56,DRL,0,56,52.83794741462917,207
57,DRL,0,57,53.25372726198287,211
58,DRL,0,58,53.95979313369841,215
59,DRL,0,59,54.542527800910186,219
60,DRL,0,60,55.291572885848595,223
61,DRL,0,61,56.17214436341079,227
62,DRL,0,62,56.52325967825951,231
63,DRL,0,63,56.93467316493393,235
64,DRL,0,64,57.272769910953954,239
65,DRL,0,65,57.60007747597994,243
66,DRL,0,66,57.932770649977044,247
67,DRL,0,67,58.29922417800875,251
68,DRL,0,68,58.7236167208478,255
69,DRL,0,69,59.17584921754898,259
70,DRL,0,70,59.490793054774414,263
71,DRL,0,71,59.84311552908272,267
72,DRL,0,72,60.17763483606279,271
73,DRL,0,73,60.60516458433122,275
74,DRL,0,74,61.09255227953196,279
75,DRL,0,75,61.54062170155347,283
76,DRL,0,76,62.1331637659669,287
77,DRL,0,77,62.65093590822072,291
78,DRL,0,78,63.28956891570241,295
79,DRL,0,79,63.98734829690308,299
80,DRL,0,80,64.4884465873614,303
81,DRL,0,81,64.9905084406212,307
82,DRL,0,82,65.3820887086913,311
83,DRL,0,83,66.08290795717389,314
84,DRL,0,84,66.55933971259743,317
85,DRL,0,85,67.0104425463453,320
86,DRL,0,86,67.52243276346476,323
87,DRL,0,87,67.93564162556083,326
88,DRL,0,88,68.3282870866731,330
89,DRL,0,89,68.50869044322522,334
90,DRL,0,90,68.86673077195884,338
91,DRL,0,91,69.22467499200256,342
92,DRL,0,92,69.76686403632165,346
93,DRL,0,93,70.27062481813134,350
94,DRL,0,94,70.71772805992515,354
95,DRL,0,95,71.15528471596541,358
96,DRL,0,96,71.58614002622666,362
97,DRL,0,97,71.93601237766447,366
98,DRL,0,98,72.26801719866695,370
99,DRL,0,99,72.58595473263415,374
100,DRL,0,100,72.99972412448379,378
101,DRL,0,101,73.45608132563534,382
102,DRL,0,102,73.81932737939063,386
103,DRL,0,103,74.17869334310296,390
104,DRL,0,104,74.56327375222001,394
105,DRL,0,105,75.0112055005506,398
106,DRL,0,106,75.54279615577313,402
107,DRL,0,107,76.10387697245929,406
108,DRL,0,108,76.54047188311819,410
109,DRL,0,109,76.94986734729264,414
110,DRL,0,110,77.30937710050497,418
111,DRL,0,111,77.66236379169862,422
112,DRL,0,112,77.95019932628612,426
113,DRL,0,113,78.36287914593707,430
114,DRL,0,114,78.73101724700074,434
115,DRL,0,115,79.20519370903264,438
116,DRL,0,116,79.65820367657582,442
117,DRL,0,117,80.05779733696023,446
118,DRL,0,118,80.43128899612466,450
119,DRL,0,119,80.73346439589749,454
120,DRL,0,120,80.93226742737929,458
121,DRL,0,121,81.4174668246601,462
122,DRL,0,122,81.83129680399784,466
123,DRL,0,123,82.22747518495657,470
124,DRL,0,124,82.64989840810188,474
125,DRL,0,125,82.93117605027743,478
126,DRL,0,126,83.32417902608402,482
127,DRL,0,127,83.82907593988814,486
128,DRL,0,128,84.18813201957383,490
129,DRL,0,129,84.56826749154366,494
130,DRL,0,130,84.95813098841347,498
131,DRL,0,131,85.3539190651942,502
132,DRL,0,132,85.80447099667974,506
133,DRL,0,133,86.15802119544708,510
134,DRL,0,134,86.57057916305028,514
135,DRL,0,135,86.97315931013786,518
136,DRL,0,136,87.20449240556918,522
137,DRL,0,137,87.45898581090384,526
