,Algorithm,Run,Step,Accumulated Reward,Disconnections
0,DRL,0,0,0.0,0
1,DRL,0,0,2.111661047100446,0
2,DRL,0,0,3.5349510599276712,0
3,DRL,0,0,4.4979046602151085,0
4,DRL,0,0,5.536902396732189,0
5,DRL,0,0,6.494900564101444,0
6,DRL,0,0,7.302144105021242,0
7,DRL,0,0,7.113045349615483,2
8,DRL,0,0,6.948647220458791,4
9,DRL,0,0,8.146724154208076,4
10,DRL,0,0,9.250679696727765,4
11,DRL,0,0,9.862319436927411,4
12,DRL,0,0,10.450412713342171,4
13,DRL,0,0,11.255893421691407,4
14,DRL,0,0,11.961917399388303,4
15,DRL,0,0,12.802411179117465,4
16,DRL,0,0,12.828099331753908,4
17,DRL,0,0,12.871171283496233,4
18,DRL,0,0,13.226014162921077,4
19,DRL,0,0,13.538152848679344,4
20,DRL,0,0,13.747094444035366,4
21,DRL,0,0,14.124018003268912,4
22,DRL,0,0,14.456209204133899,4
23,DRL,0,0,14.644948149986812,4
24,DRL,0,0,14.85020485036614,4
25,DRL,0,0,15.374957290235262,4
26,DRL,0,0,15.466004762233077,4
27,DRL,0,0,15.478062026320353,4
28,DRL,0,0,15.627388678621383,4
29,DRL,0,0,16.031265129329075,4
30,DRL,0,0,16.746763770773,4
31,DRL,0,0,17.621215304043556,4
32,DRL,0,0,18.85291527895298,4
33,DRL,0,0,20.03061651750837,4
34,DRL,0,0,21.154300928914314,4
35,DRL,0,0,21.623326783292676,4
36,DRL,0,0,22.043217989095236,4
37,DRL,0,0,22.768413964100862,4
38,DRL,0,0,23.013521672078156,4
39,DRL,0,0,23.30891349156783,4
40,DRL,0,0,23.62466075056025,4
41,DRL,0,0,23.85016204949589,4
42,DRL,0,0,24.04425895949343,4
43,DRL,0,0,24.13833512822943,4
44,DRL,0,0,24.329021731709933,4
45,DRL,0,0,24.748510816192127,4
46,DRL,0,0,25.26928859705279,4
47,DRL,0,0,25.584940785823264,4
48,DRL,0,0,25.826701853109398,4
49,DRL,0,0,26.001609299203256,4
50,DRL,0,0,26.342016580125193,4
51,DRL,0,0,26.73570731414656,4
52,DRL,0,0,27.093929917317734,4
53,DRL,0,0,27.389055622274775,4
54,DRL,0,0,27.755189503830515,4
55,DRL,0,0,28.146501989959265,4
56,DRL,0,0,28.526439846538334,4
57,DRL,0,0,29.002683123329852,4
58,DRL,0,0,29.455477813694696,4
59,DRL,0,0,29.92617621030466,4
60,DRL,0,0,30.490867039450055,4
61,DRL,0,0,30.90093781289014,4
62,DRL,0,0,31.748449425997627,4
63,DRL,0,0,32.59403678157261,4
64,DRL,0,0,32.869793195068176,4
65,DRL,0,0,33.24825372846957,4
66,DRL,0,0,33.62959464589892,4
67,DRL,0,0,33.884381861532525,4
68,DRL,0,0,34.419769238572854,4
69,DRL,0,0,34.81552661803021,4
70,DRL,0,0,35.35369655598357,4
71,DRL,0,0,35.79809980959102,4
72,DRL,0,0,36.36275029942795,4
73,DRL,0,0,36.51883974641963,4
74,DRL,0,0,36.71598069496854,4
75,DRL,0,0,37.02715325463965,4
76,DRL,0,0,37.214594336184035,4
77,DRL,0,0,37.42893053087808,4
78,DRL,0,0,37.772126146735914,4
79,DRL,0,0,38.284807252990376,4
80,DRL,0,0,38.86232932020709,4
81,DRL,0,0,39.476679033470674,4
