,Algorithm,Run,Step,vehicle,x,y
173,DRL,0,43,1,40,21
174,DRL,0,43,2,29,10
175,DRL,0,43,3,30,21
176,DRL,0,44,0,26,10
177,DRL,0,44,1,40,20
178,DRL,0,44,2,29,9
179,DRL,0,44,3,31,20
180,DRL,0,45,0,27,9
181,DRL,0,45,1,40,19
182,DRL,0,45,2,30,8
183,DRL,0,45,3,30,20
184,DRL,0,46,0,27,8
185,DRL,0,46,1,40,18
186,DRL,0,46,2,29,8
187,DRL,0,46,3,29,20
188,DRL,0,47,0,27,7
189,DRL,0,47,1,39,18
190,DRL,0,47,2,28,9
191,DRL,0,47,3,28,20
192,DRL,0,48,0,27,6
193,DRL,0,48,1,38,18
194,DRL,0,48,2,27,10
195,DRL,0,48,3,27,20
196,DRL,0,49,0,26,6
197,DRL,0,49,1,37,19
198,DRL,0,49,2,26,11
199,DRL,0,49,3,26,20
200,DRL,0,50,0,25,6
201,DRL,0,50,1,36,20
202,DRL,0,50,2,25,12
203,DRL,0,50,3,25,20
204,DRL,0,51,0,24,6
205,DRL,0,51,1,35,20
206,DRL,0,51,2,24,13
207,DRL,0,51,3,24,20
208,DRL,0,52,0,23,6
209,DRL,0,52,1,34,21
210,DRL,0,52,2,23,14
211,DRL,0,52,3,23,20
212,DRL,0,53,0,22,6
213,DRL,0,53,1,33,22
214,DRL,0,53,2,22,15
215,DRL,0,53,3,22,20
216,DRL,0,54,0,21,7
217,DRL,0,54,1,32,23
218,DRL,0,54,2,21,15
219,DRL,0,54,3,21,20
220,DRL,0,55,0,20,8
221,DRL,0,55,1,31,24
222,DRL,0,55,2,20,15
223,DRL,0,55,3,20,20
224,DRL,0,56,0,19,9
225,DRL,0,56,1,30,25
226,DRL,0,56,2,19,15
227,DRL,0,56,3,19,20
228,DRL,0,57,0,18,10
229,DRL,0,57,1,30,26
230,DRL,0,57,2,18,15
231,DRL,0,57,3,18,20
232,DRL,0,58,0,17,11
233,DRL,0,58,1,30,27
234,DRL,0,58,2,17,15
235,DRL,0,58,3,17,20
236,DRL,0,59,0,16,11
237,DRL,0,59,1,31,28
238,DRL,0,59,2,16,16
239,DRL,0,59,3,16,20
240,DRL,0,60,0,15,12
241,DRL,0,60,1,32,29
242,DRL,0,60,2,15,16
243,DRL,0,60,3,15,20
244,DRL,0,61,0,14,13
245,DRL,0,61,1,33,30
246,DRL,0,61,2,14,17
247,DRL,0,61,3,14,20
248,DRL,0,62,0,15,13
249,DRL,0,62,1,34,30
250,DRL,0,62,2,15,16
251,DRL,0,62,3,15,19
252,DRL,0,63,0,16,13
253,DRL,0,63,1,35,30
254,DRL,0,63,2,16,15
255,DRL,0,63,3,16,19
256,DRL,0,64,0,17,12
257,DRL,0,64,1,36,30
258,DRL,0,64,2,17,15
259,DRL,0,64,3,17,19
260,DRL,0,65,0,18,11
261,DRL,0,65,1,37,30
262,DRL,0,65,2,18,15
263,DRL,0,65,3,18,19
264,DRL,0,66,0,19,10
265,DRL,0,66,1,38,30
266,DRL,0,66,2,19,15
267,DRL,0,66,3,19,19
268,DRL,0,67,0,20,10
269,DRL,0,67,1,39,29
270,DRL,0,67,2,20,15
271,DRL,0,67,3,20,19
272,DRL,0,68,0,21,9
273,DRL,0,68,1,40,28
274,DRL,0,68,2,21,15
275,DRL,0,68,3,21,19
276,DRL,0,69,0,22,8
277,DRL,0,69,1,41,27
278,DRL,0,69,2,22,15
279,DRL,0,69,3,22,19
280,DRL,0,70,0,23,8
281,DRL,0,70,1,41,26
282,DRL,0,70,2,23,15
283,DRL,0,70,3,23,19
284,DRL,0,71,0,24,8
285,DRL,0,71,1,41,25
286,DRL,0,71,2,24,15
287,DRL,0,71,3,24,19
288,DRL,0,72,0,25,8
289,DRL,0,72,1,40,25
290,DRL,0,72,2,25,15
