Wall time,Step,Value
1656400639.581578,174,-2.1491386890411377
1656400664.972135,246,7.447816848754883
1656400670.8533406,261,30.65258026123047
1656400749.2699273,467,-4.363090515136719
1656400765.9611952,512,-9.307358741760254
1656400785.2558548,558,15.025866508483887
1656400824.7837331,660,-4.7766008377075195
1656400875.0030274,806,-13.654656410217285
1656400959.3705223,1028,-21.686338424682617
1656400963.2019982,1039,14.176515579223633
1656401009.479365,1134,-36.601165771484375
1656401035.5256262,1186,36.937583923339844
1656401079.4997802,1273,-16.88011360168457
1656401151.756421,1419,-37.45328140258789
1656401172.4180837,1460,-20.978281021118164
1656401190.398907,1496,-14.276362419128418
1656401202.587776,1512,-101.3954849243164
1656401227.6797426,1550,-9.512447357177734
1656401239.2222142,1567,15.24870491027832
1656401533.277501,1942,-17.91462516784668
1656401551.681877,1962,23.305875778198242
1656401939.5196419,2438,-75.77610778808594
1656401957.619435,2464,-40.32868576049805
1656401992.2729406,2505,-35.40837097167969
1656402055.693677,2579,-93.8912124633789
1656402139.3103743,2686,-16.898681640625
1656402146.2190397,2695,-130.3061065673828
1656402156.579349,2710,-4.7361016273498535
1656402161.7153313,2719,-84.07202911376953
1656402199.3265288,2770,-10.25516414642334
1656402418.7495656,3085,-35.98474884033203
1656402432.7892334,3107,3.49705171585083
1656402454.3785899,3147,-42.68497848510742
1656402508.9401357,3243,15.222293853759766
1656402522.989811,3267,17.12809181213379
1656402563.2335386,3358,18.24810218811035
1656402677.8212445,3568,-5.179394245147705
1656402695.2549639,3602,-4.494380950927734
1656402704.4414985,3618,-4.368564128875732
1656402727.901279,3656,13.334383010864258
1656402734.3846521,3670,-10.935416221618652
1656402737.1376295,3673,-21.33793830871582
1656402824.1503184,3850,-46.247798919677734
1656402857.1327672,3917,-3.8246312141418457
1656402916.270179,4025,21.659423828125
1656402952.8651917,4111,9.189970016479492
1656402960.0290167,4123,-9.288009643554688
1656402992.5640466,4183,11.449243545532227
1656402997.6606464,4194,5.195005416870117
1656403015.1803083,4229,-24.848241806030273
1656403062.3647988,4330,19.820425033569336
1656403173.215302,4566,19.913623809814453
1656403281.604422,4834,3.42815899848938
1656403400.6483233,5092,32.80094528198242
1656403419.4473584,5138,11.743325233459473
1656403445.701373,5189,12.376738548278809
1656403450.924542,5202,9.177477836608887
1656403476.9337783,5264,-11.803850173950195
1656403491.549487,5297,36.15045928955078
1656403522.5462976,5364,7.650803089141846
1656403564.8614144,5456,20.530921936035156
1656403669.6054733,5669,1.928497076034546
1656403748.60625,5834,14.213068962097168
1656403765.0436518,5868,24.83837890625
1656403770.321328,5881,25.1643123626709
1656403819.7141557,5983,16.356836318969727
1656403827.8136876,5999,21.2692928314209
1656403856.5001779,6055,28.18633270263672
1656403902.4052894,6140,6.189477443695068
1656403953.8131382,6227,11.220983505249023
1656403982.4607067,6281,6.4180450439453125
1656404011.8572261,6336,18.713008880615234
1656404032.6863098,6371,15.098405838012695
1656404168.772224,6571,6.526576042175293
1656404278.49263,6732,32.750816345214844
1656404293.2685053,6752,11.083670616149902
1656404368.8096635,6852,2.3693082332611084
1656404415.5679774,6921,24.97279930114746
1656404462.4446564,6993,21.832353591918945
1656404507.8909352,7056,-2.8939919471740723
1656404660.4060838,7255,-3.572659492492676
1656404804.0819151,7438,8.621471405029297
1656404816.7658744,7466,19.097658157348633
1656404862.342943,7545,-10.1083402633667
1656404930.4253764,7646,16.970502853393555
1656404985.989561,7732,-30.6261043548584
1656405002.5263972,7758,19.48863410949707
1656405031.2520368,7796,10.71734619140625
1656405161.954716,7988,30.782604217529297
1656405284.4167602,8124,15.036766052246094
1656405452.140606,8293,-0.8152138590812683
1656405698.9169312,8550,17.110883712768555
1656405705.506245,8556,53.396507263183594
1656405771.2051253,8620,-2.3574047088623047
1656405813.1037488,8661,0.9037518501281738
1656405847.4448295,8696,25.8743896484375
1656405874.2571993,8726,15.047486305236816
1656405900.4920886,8754,27.375146865844727
1656405920.135956,8778,0.03833859786391258
1656405923.2978354,8780,24.776336669921875
1656405961.1746156,8825,-12.094901084899902
1656405971.8147006,8835,52.95244598388672
1656406010.59123,8879,31.880128860473633
1656406164.5168219,9060,16.205509185791016
1656406247.4534607,9154,15.837204933166504
1656406333.2666023,9254,0.7525936961174011
1656406361.9590712,9293,49.2328987121582
1656406390.8191586,9329,-5.571155071258545
1656406423.565067,9361,40.12907791137695
1656406586.2434916,9549,27.48952293395996
1656406751.4886456,9714,-14.004111289978027
1656406791.48097,9755,23.12812042236328
1656406791.6354954,9756,-6.047616004943848
1656406868.5426915,9839,-12.93463134765625
1656406897.0819259,9869,35.00459289550781
1656406926.1864712,9896,0.6626299023628235
1656406944.7054596,9919,30.8834228515625
1656406978.201757,9951,5.050342559814453
1656407006.4683022,9975,30.455486297607422
1656407013.117626,9981,23.408655166625977
1656407100.1595988,10065,27.982397079467773
1656407129.3785837,10092,4.3074049949646
1656407156.350403,10123,34.14079666137695
1656407224.675228,10193,8.966004371643066
1656407372.993374,10344,18.64671516418457
1656407425.432517,10397,23.561464309692383
1656407477.00983,10447,21.000391006469727
1656407488.9511952,10460,40.61600875854492
1656407530.5198107,10503,19.139026641845703
1656407547.9833968,10520,43.49876022338867
1656407587.544495,10563,11.881210327148438
1656407662.9136798,10645,33.94208526611328
1656407664.9127076,10647,15.598064422607422
